7820664,398150526,121451644,110962575,213179843,49219700 //polar ass
9652246,158626280,90802844,176954683,158377840,119489176 //dark hullcity team
9658236,66649891,82546205,88300795,108737528,118394602 //brightside riceboi
9652054,903287846,14875011,175791687,930087419,50501785 //ybw stack 
,125146534, 173836647,107944284,99623012,89772237 //tolxic tacos
9652255,62681700,79134733,76065625,79195806,196661814 //andybendy roho
9651329,79089948,106473979,157808123,91703580,87336063 //smack team
9646453,223376902,135178273,91646078,79192770,289144672 //xeri 
8713551,161284777,129223423,300964384,138786119,214500783 //mipz
,171039241,129050083,109852891,109852891,75391698 //f8l cuh
,449741428,55012505,43976568,250970093,3231124, //agile karan
9381564,40436072,198514853,80143632,254257024,842823273 //buffles
9652256,128672357,55197649,210778825,93771421,145522764 //brae
9622471,73665843,76550387,996170963,22857654,167829403 //skipp
,106670947,89687880,66648223,190248321,177094288 //Ultragunner
,363849371,115129310,180752114,102136235,179529932 //pma jm
,101510521,93456258,332122164,170332032,31126819 //festival team
9641227,61130075,80107137,97985854,90587163,78811255 //enough lefty
,75532826,115295708,171007008,209210063,94202887 //terpcasl
9651848,177658823,298941156,105721163,329188451,56849230 //Mattjoman
,88709767,970252075,249922667,205315555,122468696 //jynx purrfin
9652226,104647665,37161239,87487190,177187550,160093945 //ku
8998481,19744,120314918,89222641,104011648,90082776 //bjaxx
5011874,202200499,115075449,162568432,80875284,285975878 //juggo
9657836,338100783,449593708,52023367,238806231,159579536 //hobbes
,126604881,78235813,84157389,81036058,122672120 //gec
,128709526,189892277,121537441,336403619,106248272 //logical
9115542,362793631,260316741,379849815,170288961,171871486 //redground
9641210,360577618,83177644,136485234,110343762,165060631 //bender snlork
9651883,148028614,399373499,240512773,433222919,368847577 //moozy
,241370187,84362769,88088188,54939474,158682036 //wife
